2020-12-04 17:53:48.887434|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.2 (2020-11-18 11:37:32)
2020-12-04 17:53:48.887584|INFO    |ServerLibPriv |   |SystemInformation: Linux 5.4.0-56-generic #62-Ubuntu SMP Mon Nov 23 19:20:19 UTC 2020 x86_64 Binary: 64bit
2020-12-04 17:53:48.887613|INFO    |ServerLibPriv |   |Using hardware aes
2020-12-04 17:53:48.888063|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2020-12-04 17:53:48.888088|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2020-12-04 17:53:48.888249|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2020-12-04 17:53:48.919028|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2020-12-04 17:53:48.919144|INFO    |Accounting    |   |Licensing Information
2020-12-04 17:53:48.919155|INFO    |Accounting    |   |licensed to       : Anonymous
2020-12-04 17:53:48.919162|INFO    |Accounting    |   |type              : No License
2020-12-04 17:53:48.919172|INFO    |Accounting    |   |starting date     : Thu Oct  1 00:00:00 2020
2020-12-04 17:53:48.919180|INFO    |Accounting    |   |ending date       : Tue Nov  1 00:00:00 2022
2020-12-04 17:53:48.919186|INFO    |Accounting    |   |max virtualservers: 1
2020-12-04 17:53:48.919193|INFO    |Accounting    |   |max slots         : 32
2020-12-04 17:53:49.685514|INFO    |              |   |Puzzle precompute time: 749
2020-12-04 17:53:49.686172|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2020-12-04 17:53:49.687951|INFO    |Query         |   |Using a query thread pool size of 2
2020-12-04 17:53:49.733959|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2020-12-04 17:53:49.734139|INFO    |Query         |   |listening for ssh query on 0.0.0.0:10022, [::]:10022
2020-12-04 17:53:49.734217|INFO    |Query         |   |listening for http query on 0.0.0.0:10080, [::]:10080
2020-12-04 17:53:49.734274|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
2020-12-04 17:59:12.589271|INFO    |ServerMain    |   |Received signal SIGTERM, shutting down.
